Frequency,RinV
1000,0.00167847
1000,0.00228883
1000,0.00296022
1000,0.00262453
1000,0.00268556
1000,0.00271608
1000,0.00265504
1000,0.00265504
1000,0.00280763
1000,0.00268556
1000,0.00253297
1000,0.00256349
1000,0.00311281
1000,0.00228883
1000,0.00311281
1000,0.00256349
1000,0.00238039
1000,0.00283815
1000,0.00253297
1000,0.00247194
1000,0.00228883
1000,0.00265504
1000,0.00283815
1000,0.0022278
1000,0.00256349
1000,0.00262453
1000,0.0024109
1000,0.0027466
1000,0.00238039
1000,0.0027466
1000,0.00259401
1000,0.00271608
1000,0.00247194
1000,0.00265504
1000,0.00265504
1000,0.00238039
1000,0.00277711
1000,0.00247194
1000,0.00265504
1000,0.00253297
1000,0.00259401
1000,0.00259401
1000,0.00259401
1000,0.00259401
1000,0.00250246
1000,0.00231935
1000,0.00280763
1000,0.0024109
1000,0.00286867
1000,0.00265504
1005,0.00173951
1005,0.000213624
1005,0.000579838
1005,0.000457766
1005,0.000732426
1005,0.000305178
1005,0.000762943
1005,0.00054932
1005,0.000610355
1005,0.000457766
1005,0.000457766
1005,0.000610355
1005,0.000701908
1005,0.000366213
1005,0.000732426
1005,0.000488285
1005,0.000640873
1005,0.000366213
1005,0.000488285
1005,0.000427248
1005,0.000427248
1005,0.00067139
1005,0.000518803
1005,0.000488285
1005,0.000762943
1005,0.000488285
1005,0.000640873
1005,0.00054932
1005,0.000610355
1005,0.000701908
1005,0.000305178
1005,0.000701908
1005,0.000366213
1005,0.000732426
1005,0.000427248
1005,0.000579838
1005,0.000610355
1005,0.000579838
1005,0.000579838
1005,0.000610355
1005,0.000427248
1005,0.00067139
1005,0.000366213
1005,0.000823978
1005,0.000488285
1005,0.000579838
1005,0.000762943
1005,0.000335695
1005,0.000915531
1005,0.000518803
1010,0.000946049
1010,0.000213624
1010,6.10356e-05
1010,3.05178e-05
1010,6.10356e-05
1010,6.10356e-05
1010,6.10356e-05
1010,9.15532e-05
1010,3.05178e-05
1010,0.0
1010,0.000122071
1010,0.000122071
1010,0.000244142
1010,0.000183106
1010,0.00027466
1010,0.000244142
1010,0.000335695
1010,0.00027466
1010,0.00039673
1010,0.00027466
1010,0.000305178
1010,0.000183106
1010,0.000122071
1010,6.10356e-05
1010,0.000122071
1010,0.000122071
1010,0.000213624
1010,0.000305178
1010,0.000213624
1010,0.000183106
1010,6.10356e-05
