Frequency,RinV
1018,0.269655
1018,0.898624
1018,1.0229
1018,0.877079
1018,0.422792
1018,0.0641484
1018,0.407412
1018,0.515995
1018,0.659855
1018,0.684269
1018,0.693668
1018,0.548161
1018,0.491396
1018,0.555607
1018,0.435305
1018,0.831425
1018,0.62421
1018,1.06251
1018,0.65424
1018,0.930973
1018,0.394167
1018,0.321108
1018,0.427248
1018,0.605961
1018,0.685307
1018,0.638126
1018,0.696903
1018,0.69318
1018,0.551456
1018,0.349001
1018,0.0547488
1018,0.296144
1018,0.589603
1018,0.88129
1018,0.915165
1018,0.542423
1018,0.306826
1018,0.428957
1018,0.531315
1018,0.401003
1018,0.506229
1018,0.656132
1018,0.694523
1018,0.692387
1018,0.574039
1018,0.0739751
1018,0.55817
1018,0.420412
1018,0.815006
1018,0.978092
1028,0.662296
1028,0.5564
1028,0.0152588
1028,0.265078
1028,0.517948
1028,0.871952
1028,0.679752
1028,1.04426
1028,0.123841
1028,0.269167
1028,0.677616
1028,0.686161
1028,0.690861
1028,0.489565
1028,0.542606
1028,0.4433
1028,1.05549
1028,0.966496
1028,1.05305
1028,0.987309
1028,0.93018
1028,0.967045
1028,0.312136
1028,0.397341
1028,0.592777
1028,0.69141
1028,0.642704
1028,0.692814
1028,0.521976
1028,0.534367
1028,0.305666
1028,0.577763
1028,1.00745
1028,0.915592
1028,1.02583
1028,0.306643
1028,0.43738
1028,0.0931401
1028,0.266237
1028,0.500797
1028,0.648685
1028,0.690128
1028,0.685856
1028,0.545414
1028,0.091187
1028,0.148377
1028,0.402834
1028,1.05939
1028,0.676762
1028,1.02619
1038,0.685795
1038,0.0277101
1038,0.861759
1038,0.648075
1038,1.04694
1038,0.332277
1038,0.367617
1038,0.381166
1038,0.185243
1038,0.680302
1038,0.612736
1038,0.676884
1038,0.677433
1038,0.665531
1038,0.20398
1038,0.094605
1038,0.343508
1038,0.640385
1038,0.854984
1038,0.956425
1038,0.443544
1038,0.922794
1038,0.421267
1038,0.0646977
1038,0.289492
1038,0.534794
1038,0.652836
1038,0.685673
1038,0.685001
1038,0.245851
1038,0.484743
1038,0.857487
1038,0.868473
1038,1.0434
1038,0.327578
1038,0.368898
1038,0.491884
1038,0.632328
1038,0.681522
1038,0.680973
1038,0.6861
1038,0.485109
1038,0.652103
1038,0.153321
1038,0.106568
1038,0.495729
1038,0.544926
1038,0.340212
1038,0.619633
1038,0.8689
1048,0.676884
1048,0.539677
1048,0.439882
1048,0.824955
1048,0.61121
1048,1.04969
1048,0.376223
1048,0.346071
1048,0.448244
1048,0.610477
1048,0.67371
1048,0.671207
1048,0.657169
1048,0.16742
1048,0.105408
1048,0.695072
1048,1.00672
1048,0.963749
1048,0.299013
1048,0.34247
1048,0.132142
1048,0.668644
1048,0.641422
1048,0.678654
1048,0.528263
1048,0.523014
1048,0.394228
1048,0.0219728
1048,0.255556
1048,0.499331
1048,1.01801
1048,0.858952
1048,0.690678
1048,0.124756
1048,0.681034
1048,0.548893
1048,0.507084
1048,0.880924
1048,0.702335
1048,0.421328
1048,0.509098
1048,0.68079
1048,0.5564
1048,0.0286256
1048,0.240968
1048,0.864017
1048,0.421267
1048,0.51392
1048,0.683109
1048,0.560551
1058,0.941349
1058,0.589603
1058,0.66724
1058,0.674503
1058,0.671818
1058,0.277895
1058,0.678532
1058,0.795231
1058,0.943424
1058,0.411684
1058,0.116944
1058,0.323549
1058,0.302919
1058,0.290468
1058,0.508549
1058,0.646244
1058,0.663395
1058,0.676823
1058,0.677128
1058,0.47455
1058,0.542484
1058,0.0905156
1058,0.573185
1058,0.375612
1058,0.731266
1058,0.703739
1058,0.993046
1058,0.350222
1058,0.160951
1058,0.375063
1058,0.566227
1058,0.681828
1058,0.640018
1058,0.680912
1058,0.677189
1058,0.678288
1058,0.472048
1058,0.0348513
1058,0.193482
1058,0.624332
1058,1.0398
1058,0.346315
1058,0.349916
1058,0.448549
1058,0.614506
1058,0.672001
1058,0.668156
1058,0.681828
1058,0.48694
1058,0.553288
1068,0.166017
1068,0.602177
1068,0.625797
1068,0.623844
1068,0.675968
1068,0.629093
1068,0.673344
1068,0.359133
1068,0.0303956
1068,0.266237
1068,0.866703
1068,0.861759
1068,0.858585
1068,0.689335
1068,0.159669
1068,0.253115
1068,0.468813
1068,0.327883
1068,0.428896
1068,0.593998
1068,0.66309
1068,0.669376
1068,0.677799
1068,0.674137
1068,0.522892
1068,0.376833
1068,0.56879
1068,0.8736
1068,0.89539
1068,0.669132
1068,0.670231
1068,0.55109
1068,0.107422
1068,0.123658
1068,0.626102
1068,1.00782
1068,0.389772
1068,0.300783
1068,0.299257
1068,0.126344
1068,0.660465
1068,0.624821
1068,0.673161
1068,0.530704
1068,0.506535
1068,0.268068
1068,0.857914
1068,1.00629
1068,0.855961
