Frequency,RinV
0.03,0.00375368
0.03,0.00390628
0.03,0.00396731
0.03,0.00396731
0.03,0.00396731
0.03,0.00396731
0.03,0.00396731
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.0039368
0.03,0.00125886
0.03,0.00122834
0.03,0.00329591
0.03,0.0034485
0.03,0.00350954
0.03,0.00350954
0.03,0.00350954
0.03,0.00350954
0.03,0.00350954
0.03,0.00350954
0.03,0.00350954
0.03,0.00350954
0.03,0.00347902
0.03,0.00347902
0.03,0.00347902
0.03,0.00347902
0.03,0.00347902
0.03,0.00347902
0.03,0.00347902
0.03,0.00347902
0.04,0.00198366
0.04,0.00204469
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00207521
0.04,0.00210573
0.04,0.00357057
0.04,0.00442508
0.04,0.00460818
0.04,0.00460818
0.04,0.00460818
0.04,0.00460818
0.04,0.00457767
0.04,0.00457767
0.04,0.00457767
0.04,0.00457767
0.05,0.00479129
0.05,0.0049744
0.05,0.00503543
0.05,0.00503543
0.05,0.00503543
0.05,0.00457767
0.05,0.00320436
0.05,0.00311281
0.05,0.00311281
0.05,0.00311281
0.05,0.00311281
0.05,0.00311281
0.05,0.00311281
0.05,0.00311281
0.05,0.00314333
0.05,0.00311281
0.05,0.00311281
0.05,0.00311281
0.05,0.00311281
0.05,0.00311281
0.05,0.00314333
0.05,0.00314333
0.05,0.00314333
0.05,0.00317384
0.05,0.00317384
0.05,0.00259401
0.05,0.00112916
0.05,0.00112916
0.05,0.00112916
0.05,0.00112916
0.05,0.00112916
0.05,0.00112916
0.05,0.00112916
0.05,0.00112916
0.05,0.00112916
0.05,0.00112916
0.05,0.00112916
0.05,0.00109864
0.05,0.00112916
0.05,0.00109864
0.05,0.00109864
0.05,0.00109864
0.05,0.00247194
0.05,0.00387575
0.05,0.00424197
0.05,0.00439456
0.05,0.00439456
0.05,0.00436404
0.05,0.00436404
0.05,0.00436404
0.060000000000000005,0.00384523
0.060000000000000005,0.00424197
0.060000000000000005,0.00433353
0.060000000000000005,0.00436404
0.060000000000000005,0.00436404
0.060000000000000005,0.00433353
0.060000000000000005,0.00433353
0.060000000000000005,0.00436404
0.060000000000000005,0.00436404
0.060000000000000005,0.00436404
0.060000000000000005,0.00439456
0.060000000000000005,0.00439456
0.060000000000000005,0.00439456
0.060000000000000005,0.00439456
0.060000000000000005,0.00439456
0.060000000000000005,0.00439456
0.060000000000000005,0.00439456
0.060000000000000005,0.00436404
0.060000000000000005,0.00436404
0.060000000000000005,0.00436404
0.060000000000000005,0.00436404
0.060000000000000005,0.00436404
0.060000000000000005,0.00433353
0.060000000000000005,0.00433353
0.060000000000000005,0.00433353
0.060000000000000005,0.00399783
0.060000000000000005,0.00460818
0.060000000000000005,0.00512698
0.060000000000000005,0.00527957
0.060000000000000005,0.00527957
0.060000000000000005,0.00527957
0.060000000000000005,0.00527957
0.060000000000000005,0.00527957
0.060000000000000005,0.00527957
0.060000000000000005,0.00531009
0.060000000000000005,0.00531009
0.060000000000000005,0.00531009
0.060000000000000005,0.00531009
0.060000000000000005,0.00531009
0.060000000000000005,0.00531009
0.060000000000000005,0.00527957
0.060000000000000005,0.00531009
0.060000000000000005,0.00531009
0.060000000000000005,0.00531009
0.060000000000000005,0.00534061
0.060000000000000005,0.00534061
0.060000000000000005,0.00537112
0.060000000000000005,0.00537112
0.060000000000000005,0.00537112
0.060000000000000005,0.00537112
0.07,0.00833136
0.07,0.00863653
0.07,0.00869757
0.07,0.00869757
0.07,0.00869757
0.07,0.00869757
0.07,0.00869757
0.07,0.00866705
0.07,0.00866705
0.07,0.00866705
0.07,0.00866705
0.07,0.00866705
0.07,0.00860602
0.07,0.00747684
0.07,0.00622562
0.07,0.00601199
0.07,0.00598148
0.07,0.00598148
0.07,0.00598148
0.07,0.00598148
0.07,0.00598148
0.07,0.00598148
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00601199
0.07,0.00598148
0.07,0.00598148
0.07,0.00598148
0.07,0.00595096
0.07,0.00595096
0.07,0.00595096
0.07,0.00595096
0.07,0.00595096
0.07,0.00595096
0.07,0.00595096
0.07,0.00595096
0.08000000000000002,0.0114747
0.08000000000000002,0.0117493
0.08000000000000002,0.0117798
0.08000000000000002,0.0115967
0.08000000000000002,0.00952154
0.08000000000000002,0.00708011
0.08000000000000002,0.00656131
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00640872
0.08000000000000002,0.00643924
0.08000000000000002,0.00643924
0.08000000000000002,0.00643924
0.08000000000000002,0.00643924
0.08000000000000002,0.00643924
0.08000000000000002,0.00643924
0.08000000000000002,0.00643924
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00650027
0.08000000000000002,0.00646976
0.08000000000000002,0.00650027
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00646976
0.08000000000000002,0.00650027
0.08000000000000002,0.00650027
0.08000000000000002,0.00650027
0.09000000000000001,0.0072327
0.09000000000000001,0.00753787
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00759891
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00762942
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00759891
0.09000000000000001,0.00756839
0.09000000000000001,0.00759891
0.09000000000000001,0.00756839
0.09000000000000001,0.00756839
0.09000000000000001,0.00759891
0.09000000000000001,0.00756839
0.09000000000000001,0.00756839
0.09000000000000001,0.00756839
0.09000000000000001,0.00756839
0.09000000000000001,0.00756839
0.09000000000000001,0.00579837
0.1,0.00845343
0.1,0.00897223
0.1,0.00912482
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00912482
0.1,0.00912482
0.1,0.00912482
0.1,0.00912482
0.1,0.00912482
0.1,0.00912482
0.1,0.00912482
0.1,0.00912482
0.1,0.00912482
0.1,0.00912482
0.1,0.00912482
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00915533
0.1,0.00912482
0.1,0.00912482
0.1,0.0090943
0.1,0.00701907
0.1,0.00329591
0.1,0.000732426
0.1,0.000213624
0.1,0.000122071
0.1,0.000122071
0.11000000000000001,0.00878912
0.11000000000000001,0.00942999
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.0096131
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00958258
0.11000000000000001,0.00955206
0.11000000000000001,0.00955206
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00952154
0.11000000000000001,0.00924689
0.11000000000000001,0.00634769
0.11000000000000001,0.00204469
0.11000000000000001,0.000457766
0.11000000000000001,6.10356e-05
0.11000000000000001,3.05178e-05
0.11000000000000001,3.05178e-05
0.11000000000000001,3.05178e-05
0.11000000000000001,3.05178e-05
0.11000000000000001,3.05178e-05
0.11000000000000001,3.05178e-05
0.12000000000000002,0.00942999
0.12000000000000002,0.00976568
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00982672
0.12000000000000002,0.00985724
0.12000000000000002,0.00985724
0.12000000000000002,0.00878912
0.12000000000000002,0.00418094
0.12000000000000002,0.00067139
0.12000000000000002,0.000152589
0.12000000000000002,6.10356e-05
0.12000000000000002,3.05178e-05
0.12000000000000002,6.10356e-05
0.12000000000000002,6.10356e-05
0.12000000000000002,6.10356e-05
0.12000000000000002,6.10356e-05
0.12000000000000002,6.10356e-05
0.12000000000000002,6.10356e-05
0.12000000000000002,3.05178e-05
0.12000000000000002,3.05178e-05
0.13,0.010376
0.13,0.0108338
0.13,0.0109559
0.13,0.0109559
0.13,0.0109559
0.13,0.0109559
0.13,0.0109559
0.13,0.0109559
0.13,0.0109559
0.13,0.0109559
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109559
0.13,0.0109864
0.13,0.0109559
0.13,0.0109559
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.0109864
0.13,0.00988775
