Frequency,RinV
500,0.0248109
500,0.00790411
500,0.00527957
500,0.00308229
500,0.00677493
500,0.0122071
500,0.00732425
500,0.0152588
500,0.0203248
500,0.0290223
500,0.0209047
500,0.0201417
500,0.0234987
500,0.0328066
500,0.0260621
500,0.021454
500,0.0299379
500,0.0346682
500,0.0445254
500,0.0372317
500,0.044678
500,0.0483096
500,0.0500796
500,0.0487063
500,0.0472414
500,0.0495913
500,0.0472109
500,0.0479128
500,0.0315554
500,0.0126038
500,0.00976568
500,0.00598148
500,0.00823981
500,0.00531009
500,0.0056763
500,0.00277711
500,0.00698856
500,0.0041199
500,0.00811774
500,0.00601199
500,0.0101319
500,0.0201722
500,0.0137635
500,0.0205995
500,0.0166627
500,0.0207521
500,0.0195619
500,0.0483096
500,0.0457766
500,0.048218
500,0.0479128
500,0.0194398
500,0.0122071
500,0.00842291
500,0.0121766
500,0.00711063
500,0.0111695
500,0.00659183
500,0.00704959
500,0.00552371
500,0.00555423
500,0.0063782
500,0.00588992
500,0.0118714
500,0.00765994
500,0.0156556
500,0.0205384
500,0.0181581
500,0.0228273
500,0.0203859
500,0.0248414
500,0.0209962
500,0.0282899
500,0.0353701
500,0.0421145
500,0.0484622
500,0.0392458
500,0.0340273
500,0.0379336
500,0.0174562
500,0.0230104
500,0.016266
500,0.0213319
500,0.0382693
500,0.0454104
500,0.0495913
500,0.0425417
500,0.036896
500,0.0211183
500,0.00302126
500,0.0385134
500,0.0451052
500,0.037842
500,0.0487063
500,0.0372927
500,0.019684
500,0.0034485
500,0.00656131
500,0.0149537
500,0.0342104
510,0.0191346
510,0.0150147
510,0.0178224
510,0.030243
510,0.0215455
510,0.0303041
510,0.0393984
510,0.0341494
510,0.0285951
510,0.0353701
510,0.0463259
510,0.038666
510,0.0179139
510,0.0156862
510,0.00219728
510,0.00219728
510,0.00851446
510,0.0119324
510,0.027588
510,0.0510561
510,0.0478213
510,0.0250245
510,0.0335391
510,0.0176088
510,0.0110779
510,0.00692752
510,0.00299074
510,0.0126649
510,0.0141297
510,0.034302
510,0.0405581
510,0.0449526
510,0.040314
510,0.0468142
510,0.0511477
510,0.050812
510,0.0375979
510,0.0408938
510,0.00387575
510,0.00527957
510,0.00735477
510,0.0113526
510,0.0132447
510,0.0346377
510,0.0242311
510,0.0315859
510,0.0526125
510,0.0517581
510,0.0484927
510,0.0493472
510,0.0523684
510,0.0354311
510,0.031128
510,0.0118714
510,0.00747684
510,0.0146485
510,0.00808722
510,0.00170899
510,0.0356448
510,0.0333865
510,0.0245973
510,0.00375368
510,0.00332643
510,0.00439456
510,0.00540164
510,0.0216981
510,0.0257264
510,0.0319827
510,0.0378115
510,0.0511477
510,0.050812
510,0.0505068
510,0.0479128
510,0.0509951
510,0.0452273
510,0.0497439
510,0.0466311
510,0.0392764
510,0.0344241
510,0.0157777
510,0.0192262
510,0.00686648
510,0.00302126
510,0.00067139
510,0.00479129
510,0.00103761
510,0.0013733
510,0.00720218
510,0.00640872
510,0.00280763
510,0.010254
510,0.00167847
510,0.0193788
510,0.00546268
510,0.00299074
510,0.000854496
510,0.00228883
510,0.00146485
510,0.0041199
510,0.00964361
520,0.048218
520,0.0457766
520,0.0379031
520,0.0466616
520,0.0484316
520,0.0425112
520,0.0176698
520,0.0156251
520,0.0125733
520,0.00311281
520,0.00283815
520,0.00582889
520,0.00390628
520,0.00485232
520,0.00762942
520,0.0134583
520,0.00997931
520,0.0238649
520,0.0429385
520,0.0247804
520,0.0471804
520,0.0492251
520,0.0473025
520,0.0484316
520,0.039551
520,0.0318606
520,0.0278627
520,0.00939947
520,0.01709
520,0.0117798
520,0.00421146
520,0.00823981
520,0.0080567
520,0.00427249
520,0.00836188
520,0.0216066
520,0.0399172
520,0.00610355
520,0.0141297
520,0.0347598
520,0.0307618
520,0.0236512
520,0.00607303
520,0.0273439
520,0.00820929
520,0.00479129
520,0.00549319
520,0.00781256
520,0.00851446
520,0.00991827
520,0.0141907
520,0.0158693
520,0.0364077
520,0.0484927
520,0.0361025
520,0.0172731
520,0.0226136
520,0.0164491
520,0.0158082
520,0.00845343
520,0.0154725
520,0.0110779
520,0.00500491
520,0.00210573
520,0.0354922
520,0.00860602
520,0.0194093
520,0.0134583
520,0.0173646
520,0.0226747
520,0.0251466
520,0.0335696
520,0.0382082
520,0.0449221
520,0.0243226
520,0.0274354
520,0.0473635
520,0.042908
520,0.047394
520,0.0451052
520,0.0391543
520,0.0462649
520,0.04126
520,0.0336306
520,0.029358
520,0.0115662
520,0.00396731
520,0.00827032
520,0.0034485
520,0.00839239
520,0.0051575
520,0.0125733
520,0.01474
520,0.0331423
520,0.0500185
520,0.0475771
520,0.0482485
520,0.042206
520,0.00524905
520,0.0139161
530,0.0467532
530,0.0437624
530,0.0370486
530,0.0304872
530,0.0255738
530,0.00793463
530,0.00439456
530,0.0107422
530,0.0151063
530,0.0142213
530,0.0167238
530,0.0268251
530,0.0191041
530,0.016205
530,0.037781
530,0.0299989
530,0.0269777
530,0.0448306
530,0.0476992
530,0.0463259
530,0.0161744
530,0.00592044
530,0.00363161
530,0.00418094
530,0.00436404
530,0.0121155
530,0.00500491
530,0.00299074
530,0.00769046
530,0.0156251
530,0.0117798
530,0.00405887
530,0.014618
530,0.0074158
530,0.0039368
530,0.0104676
530,0.0160524
530,0.024994
530,0.0310975
530,0.0264894
530,0.031769
530,0.0385745
530,0.0423892
530,0.0238038
530,0.026703
530,0.0206605
530,0.0257264
530,0.0283509
530,0.0359805
530,0.0274354
530,0.0344851
530,0.0266114
530,0.0198671
530,0.0173036
530,0.0200502
530,0.0166322
530,0.0183412
530,0.0140992
530,0.0144959
530,0.00976568
530,0.0125733
530,0.00283815
530,0.00784308
530,0.00283815
530,0.00677493
530,0.00384523
530,0.00994879
530,0.0159913
530,0.0131531
530,0.0314944
530,0.0274659
530,0.0336916
530,0.0291749
530,0.0379031
530,0.0440676
530,0.0472414
530,0.0458682
530,0.0478213
530,0.0428469
530,0.0357974
530,0.0408022
530,0.0455019
530,0.0389102
530,0.0304872
530,0.0364993
530,0.0286866
530,0.024048
530,0.026764
530,0.0321047
530,0.0252382
530,0.0299073
530,0.0246278
530,0.0267335
530,0.0220033
530,0.0260011
530,0.0193177
530,0.0256044
530,0.0184633
530,0.0156556
530,0.0133057
540,0.019745
540,0.0173646
540,0.0133973
540,0.0085755
540,0.0159608
540,0.00958258
540,0.0174257
540,0.0217592
540,0.0320437
540,0.0276796
540,0.032532
540,0.0288087
540,0.0364993
540,0.0303346
540,0.0319521
540,0.029236
540,0.0321047
540,0.035187
540,0.0314944
540,0.0332034
540,0.0286866
540,0.0315859
540,0.0188295
540,0.0223085
540,0.0183717
540,0.0218812
540,0.0183107
540,0.0200502
540,0.0184633
540,0.0181886
540,0.0174867
540,0.013855
540,0.0159913
540,0.0186158
540,0.0146485
540,0.0178529
540,0.0135804
540,0.0114442
540,0.0136719
540,0.0100098
540,0.00622562
540,0.00726321
540,0.0143433
540,0.00994879
540,0.0143738
540,0.0243226
540,0.0307618
540,0.0259706
540,0.0349429
540,0.0429385
540,0.0372317
540,0.0286256
540,0.040436
540,0.0329287
540,0.0271913
540,0.0363162
540,0.0455935
540,0.0385745
540,0.0237123
540,0.021576
540,0.0216066
540,0.0197145
540,0.0220338
540,0.0239564
540,0.021576
540,0.0225221
540,0.0202943
540,0.022339
540,0.0188295
540,0.0171205
540,0.0167848
540,0.021454
540,0.0139161
540,0.00796515
540,0.0133362
540,0.00823981
540,0.0161134
540,0.0101929
540,0.0162965
540,0.0140381
540,0.0160218
540,0.0152894
540,0.018097
540,0.0267335
540,0.0208436
540,0.0163881
540,0.0253907
540,0.0170289
540,0.0264894
540,0.0220948
540,0.0163575
540,0.0139771
540,0.0173951
540,0.0280458
540,0.0343935
540,0.027588
540,0.024994
540,0.0310975
540,0.0391543
540,0.02063
550,0.0341799
550,0.0380251
550,0.0329897
550,0.0369875
550,0.0323794
550,0.0352786
550,0.032654
550,0.0272218
550,0.0250245
550,0.0264283
550,0.0226442
550,0.0266725
550,0.0217897
550,0.0189515
550,0.0216066
550,0.0213319
550,0.0320437
550,0.026764
550,0.0295411
550,0.0263673
550,0.0269471
550,0.0202638
550,0.017151
550,0.0184633
550,0.0219728
550,0.0169984
550,0.0155335
550,0.0169069
550,0.017975
550,0.0158082
550,0.0166932
550,0.0155945
550,0.0168153
550,0.0160524
550,0.0139161
550,0.0126954
550,0.0142213
550,0.0141907
550,0.0165101
550,0.0140992
550,0.0187379
550,0.0182801
550,0.0256959
550,0.0316164
550,0.0272523
550,0.0356753
550,0.029236
550,0.0265809
550,0.0328677
550,0.0389102
550,0.0364993
550,0.0416262
550,0.0381777
550,0.0322268
550,0.0415041
550,0.0432742
550,0.0415957
550,0.0429995
550,0.0432131
550,0.0354922
550,0.0315554
550,0.032532
550,0.0306093
550,0.0315249
550,0.0288697
550,0.0303041
550,0.0263673
550,0.0248414
550,0.0261232
550,0.027527
550,0.0264283
550,0.022339
550,0.024109
550,0.0260316
550,0.0226136
550,0.0260621
550,0.0265504
550,0.030243
550,0.0264894
550,0.0222169
550,0.0213014
550,0.01709
550,0.0190736
550,0.0417788
550,0.0392764
550,0.0366213
550,0.0408633
550,0.0373843
550,0.0423586
550,0.0407107
550,0.0421755
550,0.0411685
550,0.0442507
550,0.0397036
550,0.0445559
550,0.0376894
550,0.0322268
550,0.0294801
550,0.0303651
550,0.0276796
560,0.0169374
560,0.0158693
560,0.0223085
560,0.0180055
560,0.0248414
560,0.0217897
560,0.0264894
560,0.0238038
560,0.032532
560,0.0372012
560,0.0341799
560,0.0282899
560,0.0362246
560,0.0399783
560,0.0379946
560,0.0405886
560,0.0392764
560,0.0424197
560,0.0376284
560,0.0412295
560,0.0415041
560,0.0400698
560,0.0411074
560,0.0377505
560,0.0413821
560,0.0160218
560,0.0129395
560,0.0154725
560,0.0165101
560,0.0141297
560,0.0166627
560,0.0130921
560,0.014679
560,0.0168153
560,0.0185243
560,0.0158387
560,0.0127564
560,0.0151368
560,0.0135193
560,0.0149537
560,0.0178529
560,0.0164186
560,0.0172731
560,0.0178224
560,0.0154725
560,0.0186158
560,0.0162965
560,0.0165712
560,0.0393984
560,0.0362246
560,0.0375674
560,0.0348818
560,0.0385745
560,0.0320437
560,0.0296327
560,0.0328066
560,0.0341189
560,0.0327151
560,0.0385745
560,0.0359194
560,0.0328066
560,0.0290223
560,0.0315859
560,0.0276796
560,0.0299379
560,0.0333254
560,0.0279237
560,0.0255738
560,0.0234987
560,0.0238649
560,0.0272523
560,0.013794
560,0.0156862
560,0.0142213
560,0.0160524
560,0.0148011
560,0.0165406
560,0.01709
560,0.0188295
560,0.0160524
560,0.0182191
560,0.01709
560,0.0176393
560,0.0186769
560,0.0159303
560,0.0184327
560,0.0177308
560,0.0169984
560,0.0190736
560,0.0161744
560,0.022339
560,0.0288087
560,0.0235597
560,0.031067
560,0.0358279
560,0.0332339
560,0.0287477
560,0.026642
560,0.0241395
560,0.0245057
570,0.0169069
570,0.0192872
570,0.0177613
570,0.0192262
570,0.0138245
570,0.0164796
570,0.0190126
570,0.0132142
570,0.0159913
570,0.0195619
570,0.0159608
570,0.0224611
570,0.0165406
570,0.0263368
570,0.0194093
570,0.0288392
570,0.033478
570,0.0306703
570,0.0273744
570,0.0316775
570,0.0355532
570,0.0330813
570,0.0355532
570,0.0346377
570,0.0346072
570,0.0353091
570,0.0348818
570,0.0357974
570,0.0353396
570,0.0361941
570,0.0291444
570,0.0205384
570,0.0178834
570,0.019806
570,0.0167543
570,0.0189821
570,0.0167543
570,0.0191652
570,0.0209047
570,0.0193788
570,0.0205079
570,0.015564
570,0.0178224
570,0.0153504
570,0.0156862
570,0.0168763
570,0.0143433
570,0.0156251
570,0.0155335
570,0.0164491
570,0.0226442
570,0.0170594
570,0.0264589
570,0.0202638
570,0.0277406
570,0.0238954
570,0.0292665
570,0.0252382
570,0.0304567
570,0.0264589
570,0.0323794
570,0.0292665
570,0.0253907
570,0.0299989
570,0.0264283
570,0.0329287
570,0.0316775
570,0.0347903
570,0.0304872
570,0.035126
570,0.0344241
570,0.0349429
570,0.0357668
570,0.0336611
570,0.0347903
570,0.0347903
570,0.0350649
570,0.0350955
570,0.034241
570,0.0329287
570,0.0305787
570,0.0320437
570,0.030121
570,0.0258485
570,0.0291444
570,0.0251466
570,0.0264283
570,0.0244142
570,0.0257875
570,0.0219423
570,0.0194398
570,0.0209657
570,0.0183412
570,0.0197145
570,0.0224916
570,0.0201112
570,0.0152894
570,0.0191041
570,0.0291139
570,0.0332949
580,0.0269166
580,0.0210572
