frequency,voltages
995,5.42265e-06
995,5.50135e-06
995,5.58331e-06
995,5.68668e-06
995,5.81428e-06
995,5.91253e-06
995,6.02103e-06
995,6.09181e-06
995,6.15514e-06
995,6.21242e-06
1995,5.61125e-07
1995,6.25852e-07
1995,6.82663e-07
1995,7.25504e-07
1995,7.55306e-07
1995,7.63222e-07
1995,7.60894e-07
1995,7.581e-07
1995,7.40871e-07
1995,7.10137e-07
2995,6.31906e-07
2995,6.68228e-07
2995,7.08274e-07
2995,7.58566e-07
2995,8.07926e-07
2995,8.65202e-07
2995,9.55544e-07
2995,1.02493e-06
2995,1.10036e-06
2995,1.1772e-06
3995,2.11877e-07
3995,1.92319e-07
3995,1.72296e-07
3995,1.52272e-07
3995,1.37371e-07
3995,1.25264e-07
3995,1.09897e-07
3995,9.63923e-08
3995,8.75448e-08
3995,7.96285e-08
4995,7.09671e-07
4995,6.96167e-07
4995,6.77541e-07
4995,6.63571e-07
4995,6.52395e-07
4995,6.45876e-07
4995,6.44479e-07
4995,6.47273e-07
4995,6.52861e-07
4995,6.58449e-07
5995,1.8254e-07
5995,2.20259e-07
5995,2.50528e-07
5995,2.8033e-07
5995,3.05941e-07
5995,3.31553e-07
5995,3.59027e-07
5995,3.75325e-07
5995,3.90226e-07
5995,3.99539e-07
6995,3.58561e-07
6995,3.72065e-07
6995,3.83241e-07
6995,3.94883e-07
6995,4.05593e-07
6995,4.22822e-07
6995,4.43777e-07
6995,4.64266e-07
6995,4.88948e-07
6995,5.17353e-07
7995,7.98147e-07
7995,7.87903e-07
7995,7.86506e-07
7995,7.90231e-07
7995,7.97216e-07
7995,8.05132e-07
7995,8.11186e-07
7995,8.13514e-07
7995,8.14445e-07
7995,8.13048e-07
8995,2.35626e-07
8995,2.42611e-07
8995,2.4494e-07
8995,2.3516e-07
8995,2.35626e-07
8995,2.35626e-07
8995,2.28641e-07
8995,2.20724e-07
8995,2.13274e-07
8995,2.08617e-07
9995,3.44591e-07
9995,3.62752e-07
9995,3.80913e-07
9995,3.98608e-07
9995,4.15372e-07
9995,4.30273e-07
9995,4.43777e-07
9995,4.52159e-07
9995,4.59144e-07
9995,4.62869e-07
10000,1.83937e-07
10000,1.83006e-07
10000,1.83937e-07
10000,1.84868e-07
10000,1.87197e-07
10000,1.89059e-07
10000,1.89991e-07
10000,1.89991e-07
10000,1.88128e-07
10000,1.858e-07
20000,2.51459e-07
20000,2.51925e-07
20000,2.51925e-07
20000,2.54253e-07
20000,2.5565e-07
20000,2.57513e-07
20000,2.58909e-07
20000,2.59375e-07
20000,2.58444e-07
20000,2.56581e-07
30000,1.53669e-07
30000,1.56463e-07
30000,1.59723e-07
30000,1.62517e-07
30000,1.63914e-07
30000,1.64845e-07
30000,1.64379e-07
30000,1.62982e-07
30000,1.59257e-07
30000,1.56463e-07
40000,1.97907e-07
40000,1.95579e-07
40000,1.93716e-07
40000,1.90922e-07
40000,1.86265e-07
40000,1.79281e-07
40000,1.7183e-07
40000,1.61585e-07
40000,1.49013e-07
40000,1.34577e-07
