Frequency,RinV
500,0.0211488
500,0.019806
500,0.0213929
500,0.0186158
500,0.0216371
500,0.0190736
500,0.0210878
500,0.0193788
500,0.0212709
500,0.0210267
500,0.0198365
500,0.0219117
500,0.0193483
500,0.0204469
500,0.0196229
500,0.021576
500,0.0194703
500,0.02063
500,0.0213014
500,0.018921
500,0.0204164
500,0.0193483
500,0.0209962
500,0.0200197
500,0.0187684
500,0.0203859
500,0.0192872
500,0.0194093
500,0.0201722
500,0.0209657
500,0.0188295
500,0.0208436
500,0.0183412
500,0.0209352
500,0.0185243
500,0.0208741
500,0.0207216
500,0.020569
500,0.0214845
500,0.0195314
500,0.0207216
500,0.0196229
500,0.0203248
500,0.0208131
500,0.0201417
500,0.0210878
500,0.0188905
500,0.0204164
500,0.0204469
500,0.0203248
500,0.0199891
500,0.0214235
500,0.0187379
500,0.0211183
500,0.0187379
500,0.0207521
500,0.020569
500,0.0194093
500,0.0217897
500,0.018921
500,0.0214235
500,0.0198671
500,0.0199281
500,0.0210267
500,0.0195314
500,0.0200807
500,0.0213929
500,0.0201417
500,0.0210572
500,0.019806
500,0.0204774
500,0.0195924
500,0.0213319
500,0.0199586
500,0.0213319
500,0.0194398
500,0.0208436
500,0.0193483
500,0.0201417
500,0.0205384
500,0.0192872
500,0.020569
500,0.0191652
500,0.0206605
500,0.020569
500,0.0193788
500,0.0198671
500,0.0210267
500,0.0197755
500,0.0193177
500,0.0187074
500,0.0209352
500,0.018921
500,0.0208436
500,0.0183412
500,0.0213624
500,0.0191652
500,0.0212404
500,0.0204469
500,0.0192567
504,0.020569
504,0.0185853
504,0.0182191
504,0.0173646
504,0.018097
504,0.0166932
504,0.017975
504,0.0193483
504,0.0172426
504,0.0190126
504,0.0170289
504,0.0188295
504,0.0172731
504,0.0181276
504,0.0181581
504,0.0174562
504,0.0193177
504,0.0169374
504,0.0186464
504,0.0171205
504,0.0181886
504,0.0187989
504,0.01709
504,0.0191041
504,0.017151
504,0.0181886
504,0.0171815
504,0.0184633
504,0.0168458
504,0.0183717
504,0.0176088
504,0.0183717
504,0.0163881
504,0.0186769
504,0.0176698
504,0.017975
504,0.0172731
504,0.0176088
504,0.0177919
504,0.017212
504,0.0181276
504,0.0180055
504,0.0178224
504,0.0168458
504,0.0182191
504,0.0165712
504,0.0179139
504,0.0173036
504,0.0171815
504,0.0174257
504,0.0169069
504,0.0182496
504,0.0183107
504,0.0162965
504,0.0178224
504,0.0161744
504,0.0186158
504,0.0166322
504,0.0183107
504,0.0168458
504,0.018036
504,0.0169679
504,0.0162965
504,0.0184022
504,0.0174562
504,0.0186769
504,0.0171205
504,0.0185243
504,0.0173646
504,0.0182496
504,0.0164796
504,0.0187379
504,0.0173951
504,0.0190126
504,0.0182801
504,0.0172731
504,0.0182191
504,0.0177613
504,0.017975
504,0.0170594
504,0.0178834
504,0.0177003
504,0.0186769
504,0.0166932
504,0.0188905
504,0.0173646
504,0.0184633
504,0.0176698
504,0.0174562
504,0.01886
504,0.0173646
504,0.0192262
504,0.0170289
504,0.0186464
504,0.0171815
504,0.0184022
504,0.0177003
504,0.0178224
504,0.0188905
504,0.0165406
508,0.0181581
508,0.0133668
508,0.0131837
508,0.0140687
508,0.0144654
508,0.013794
508,0.0134583
508,0.0144044
508,0.0134278
508,0.0140381
508,0.0134278
508,0.0142823
508,0.0127564
508,0.0140076
508,0.0132752
508,0.0145875
508,0.013794
508,0.0139161
508,0.0140381
508,0.0128785
508,0.013794
508,0.0131226
508,0.0144654
508,0.0136109
508,0.0145875
508,0.0140076
508,0.0133057
508,0.0141907
508,0.0127259
508,0.0143128
508,0.0134888
508,0.0143738
508,0.0140381
508,0.0140381
508,0.0138856
508,0.0133973
508,0.0140381
508,0.0134278
508,0.0135804
508,0.0141907
508,0.0137025
508,0.0143738
508,0.0138245
508,0.0143128
508,0.0141907
508,0.01297
508,0.013794
508,0.0136109
508,0.0139771
508,0.0141602
508,0.0138856
508,0.0142213
508,0.0135193
508,0.0143738
508,0.0136719
508,0.0143128
508,0.0130311
508,0.0144654
508,0.0139466
508,0.013794
508,0.0140992
508,0.013733
508,0.0131226
508,0.0145264
508,0.0134888
508,0.0144349
508,0.0131837
508,0.0142823
508,0.0132447
508,0.0145875
508,0.01297
508,0.0143433
508,0.0135193
508,0.0145875
508,0.0136414
508,0.0141907
508,0.014679
508,0.0136109
508,0.0140687
508,0.0126343
508,0.0142518
508,0.0134278
508,0.0144044
508,0.013855
508,0.0130616
508,0.0136719
508,0.0126954
508,0.0140076
508,0.0137025
508,0.0143128
508,0.0141297
508,0.0135193
508,0.0133057
508,0.012848
508,0.0139771
508,0.012909
508,0.0140076
508,0.01297
508,0.0142213
508,0.0130616
550,0.0202028
550,0.0210267
550,0.0191957
550,0.0213624
550,0.0195009
550,0.0211793
550,0.019684
550,0.0216981
550,0.0197145
550,0.0212404
550,0.0203248
550,0.0214235
550,0.0210572
550,0.0220948
550,0.0209047
550,0.021515
550,0.0216066
550,0.0218202
550,0.0216371
550,0.0214235
550,0.0216676
550,0.0203859
550,0.0214845
550,0.0212404
550,0.020691
550,0.0213929
550,0.0204774
550,0.0218202
550,0.0200197
550,0.0216371
550,0.0205384
550,0.0209962
550,0.021454
550,0.0196534
550,0.0201417
550,0.0218202
550,0.0208131
550,0.0208741
550,0.0215455
550,0.0202028
550,0.021515
550,0.0199281
550,0.0210572
550,0.0195924
550,0.0210572
550,0.0209047
550,0.0199891
550,0.0203859
550,0.0191652
550,0.0207216
550,0.0190431
550,0.0202638
550,0.0197755
550,0.0199281
550,0.0204469
550,0.0187379
550,0.0199281
550,0.0187989
550,0.0208741
550,0.0202638
550,0.0188295
550,0.0199891
550,0.0188905
550,0.0203553
550,0.0190431
550,0.0200197
550,0.0183107
550,0.0200807
550,0.0189821
550,0.0194093
550,0.01886
550,0.0202943
550,0.0184022
550,0.0202943
550,0.0190736
550,0.0203859
550,0.0186158
550,0.02063
550,0.0186464
550,0.0201722
550,0.0193483
550,0.0211488
550,0.0197145
550,0.0205384
550,0.0197145
550,0.020569
550,0.01886
550,0.0203553
550,0.0187379
550,0.0203859
550,0.0195924
550,0.0204469
550,0.0188905
550,0.0203553
550,0.0188905
550,0.0202943
550,0.0185853
550,0.0203553
550,0.019806
550,0.0198976
554,0.0187074
554,0.0173951
554,0.0176698
554,0.0166017
554,0.0176393
554,0.0169984
554,0.0174867
554,0.0171815
554,0.0178224
554,0.0166627
554,0.0179445
554,0.0176698
554,0.0180055
554,0.0176088
554,0.0175477
554,0.0175477
554,0.0180055
554,0.0174257
554,0.0181276
554,0.0177613
554,0.0182801
554,0.0174867
554,0.0184633
554,0.0172731
554,0.0180055
554,0.0178834
554,0.018097
554,0.0178834
554,0.0177003
554,0.0179445
554,0.0175172
554,0.0187074
554,0.017975
554,0.0184327
554,0.0176393
554,0.0182191
554,0.0179445
554,0.0182191
554,0.0175782
