Frequency,RinV
300,1.01976e-05
300,1.01585e-05
300,1.06614e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,9.23738e-06
300,7.7766e-06
300,6.32231e-06
300,4.30646e-06
300,3.20796e-06
300,4.50577e-06
300,5.8357e-06
300,7.52651e-06
300,8.16217e-06
300,9.08138e-06
300,9.61643e-06
300,9.80456e-06
300,9.77382e-06
300,7.7929e-06
300,7.42407e-06
300,7.92561e-06
300,7.51627e-06
300,6.8988e-06
300,6.57098e-06
300,8.27998e-06
300,8.96823e-06
300,9.34122e-06
300,8.77638e-06
300,7.35794e-06
300,7.68487e-06
300,9.27557e-06
300,9.67277e-06
300,9.75892e-06
300,1.01701e-05
300,1.07447e-05
300,1.09217e-05
300,9.93448e-06
300,8.41456e-06
300,6.68646e-06
300,5.72347e-06
300,5.34768e-06
300,6.30508e-06
300,7.86135e-06
300,8.96171e-06
300,8.65856e-06
300,7.68952e-06
300,7.81432e-06
300,7.24805e-06
300,6.78099e-06
300,6.77168e-06
300,7.58193e-06
300,8.82713e-06
300,9.45764e-06
300,1.01324e-05
300,1.05198e-05
300,9.88558e-06
300,8.56683e-06
300,8.13423e-06
300,8.6716e-06
300,8.74145e-06
300,8.04156e-06
300,7.41988e-06
300,6.31905e-06
300,4.50856e-06
300,1.94555e-06
300,1.01934e-06
300,2.45452e-06
300,5.04221e-06
300,7.45992e-06
300,8.02806e-06
300,7.76356e-06
300,7.97125e-06
300,7.4399e-06
300,7.47343e-06
300,6.23756e-06
300,5.05758e-06
300,4.78563e-06
300,6.33209e-06
300,8.5659e-06
300,9.23692e-06
300,7.88277e-06
300,6.95794e-06
300,6.32231e-06
300,6.23663e-06
300,6.10485e-06
300,6.75165e-06
300,6.54862e-06
300,6.36981e-06
300,7.09158e-06
300,8.1794e-06
300,1.02642e-05
300,1.02018e-05
300,9.55543e-06
300,8.41456e-06
300,6.41265e-06
300,6.94816e-06
300,8.795e-06
300,9.82598e-06
302,5.06503e-06
302,4.92393e-06
302,3.93673e-06
302,2.6785e-06
302,6.64502e-07
302,1.57208e-06
302,1.57487e-06
302,1.15624e-06
302,1.97256e-06
302,2.56488e-06
302,2.74928e-06
302,1.60887e-06
302,4.18213e-06
302,5.81288e-06
302,3.87852e-06
302,2.17232e-06
302,4.43918e-06
302,5.5428e-06
302,3.5721e-06
302,2.07081e-06
302,2.8168e-06
302,3.96188e-06
302,3.88737e-06
302,2.47826e-06
302,2.3069e-06
302,3.08735e-06
302,2.41447e-06
302,1.84589e-06
302,2.08292e-06
302,2.49829e-06
302,2.43449e-06
302,1.05007e-06
302,2.12716e-06
302,5.15257e-06
302,4.86712e-06
302,2.40096e-06
302,1.80025e-06
302,3.66617e-06
302,3.58514e-06
302,1.51248e-06
302,2.20725e-06
302,4.80379e-06
302,4.68644e-06
302,2.57279e-06
302,1.42121e-06
302,1.89478e-06
302,2.70364e-06
302,2.77675e-06
302,2.67151e-06
302,2.44194e-06
302,8.14445e-07
302,2.65428e-06
302,2.82611e-06
302,3.84453e-06
302,4.82475e-06
302,4.18586e-06
302,3.71506e-06
302,3.79143e-06
302,4.11508e-06
302,2.20771e-06
302,1.8552e-06
302,1.46312e-06
302,1.0226e-06
302,2.3232e-06
302,2.43589e-06
302,2.69852e-06
302,1.43145e-06
302,1.79653e-06
302,2.59049e-06
302,3.53019e-06
302,4.57329e-06
302,3.39655e-06
302,2.07547e-06
302,2.44986e-06
302,2.37116e-06
302,2.88432e-06
302,3.77513e-06
302,2.45079e-06
302,2.15602e-07
302,2.82052e-06
302,5.12696e-06
302,4.96305e-06
302,3.75138e-06
302,2.7842e-06
302,1.73879e-06
302,1.45054e-06
302,2.04427e-06
302,2.62169e-06
302,3.91857e-06
302,4.41264e-06
302,4.71578e-06
302,2.90108e-06
302,1.3914e-06
302,2.97745e-06
302,4.02474e-06
302,3.95722e-06
302,2.60492e-06
302,3.34858e-06
302,1.99584e-06
302,4.09878e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,4.03894e-06
304,2.42588e-06
304,1.07499e-06
304,9.55777e-07
304,3.8394e-07
304,7.0781e-08
304,8.93608e-07
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.46084e-06
304,5.13651e-06
304,2.84032e-06
304,1.29804e-06
304,1.06032e-06
304,4.638e-07
304,4.7614e-07
304,3.45522e-07
304,2.06987e-07
304,2.21423e-07
304,2.53089e-07
304,2.40283e-07
304,2.48432e-07
304,2.49363e-07
304,2.51925e-07
304,2.5076e-07
304,2.50295e-07
304,2.5076e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.5076e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
304,2.5076e-07
304,2.5076e-07
304,2.50528e-07
304,2.50528e-07
304,2.50528e-07
