Frequency,RinV
Frequency,RinV
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,9.84414e-06
300,7.83434e-06
300,7.4995e-06
300,6.60357e-06
300,6.51836e-06
300,7.08227e-06
300,6.67994e-06
300,7.68626e-06
300,9.45345e-06
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.08304e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.04933e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,9.94146e-06
300,9.56986e-06
300,9.6318e-06
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,9.79478e-06
300,9.24949e-06
300,9.90654e-06
300,1.05864e-05
300,1.00821e-05
300,9.35799e-06
300,9.44088e-06
300,1.04602e-05
300,1.00993e-05
300,9.28581e-06
300,8.30932e-06
300,8.03691e-06
300,8.54727e-06
300,9.44507e-06
300,1.04183e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.08872e-05
300,1.04718e-05
300,1.01133e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
300,1.09217e-05
302,4.3996e-06
302,3.9358e-06
302,3.3281e-06
302,2.14322e-06
302,4.78842e-06
302,5.46084e-06
302,5.23313e-06
302,3.77187e-06
302,1.90456e-06
302,8.75214e-07
302,2.15742e-06
302,3.09364e-06
302,3.94441e-06
302,4.04663e-06
302,3.82031e-06
302,4.14744e-06
302,4.46898e-06
302,3.62309e-06
302,3.16139e-06
302,4.17003e-06
302,5.04198e-06
302,4.91159e-06
302,3.38537e-06
302,2.46616e-06
302,3.66477e-06
302,3.6983e-06
302,2.68199e-06
302,4.05897e-06
302,5.08691e-06
302,5.24291e-06
302,5.40938e-06
302,5.31509e-06
302,5.10065e-06
302,3.92998e-06
302,1.16556e-06
302,1.44472e-06
302,2.35277e-06
302,2.79817e-06
302,2.69899e-06
302,2.6175e-06
302,1.74251e-06
302,2.44823e-06
302,3.82381e-06
302,4.35419e-06
302,3.58258e-06
302,3.41704e-06
302,3.47897e-06
302,3.07338e-06
302,3.67944e-06
302,4.072e-06
302,3.44893e-06
302,3.51878e-06
302,3.02402e-06
302,2.80725e-06
302,3.56023e-06
302,4.5691e-06
302,4.28574e-06
302,4.10646e-06
302,5.0627e-06
302,4.45734e-06
302,2.86616e-06
302,2.14927e-06
302,1.65939e-06
302,2.07244e-06
302,3.69527e-06
302,4.33929e-06
302,4.63126e-06
302,4.57236e-06
302,3.43659e-06
302,2.02937e-06
302,9.8395e-07
302,1.98257e-06
302,3.76582e-06
302,3.03194e-06
302,2.54811e-06
302,2.38886e-06
302,2.94067e-06
302,4.27596e-06
302,4.17492e-06
302,3.41308e-06
302,4.95327e-06
